Scholarship,Deadline,Amount,Synopsis,Link
There's Space for Everyone Scholarship,"May 31, 2025","$3,000",Must be enrolled in an accredited college or university for the Fall 2024 semester; Must be at least 16 years of age or older at the time of application; Must be a legal resident of the United States. Write an essay answering the prompt,https://www.extraspace.com/self-storage/scholarship/
Advancing Inclusion Scholarships,"March 25, 2025",Amount Varies,"You must be a student enrolled in an accredited degree program at a college or university at the time, Show satisfactory progress toward a degree such as, but not limited to: computer science, software engineering, electrical engineering, human-computer interaction, math, physics, or management information systems, A minimum cumulative GPA of 2.5 and must identify as a female or non-binary student",https://ghc.anitab.org/attend/scholarships/
AISES Scholarships,April 30,Amount Varies,"Multiple scholarships for STEM majors, must be an indegious student in STEM",https://www.aises.org/students/scholarships
Undergraduate Scholarships | Horatio Alger,March 15,-,"Demonstrate critical financial need ($65,000 or lower adjusted gross family income is required), be involved in co-curricular and community service activities, display integrity and perseverance in overcoming adversity, maintain a minimum grade point average (GPA) of 2.0; and be a United States citizen",https://horatioalger.org/scholarships-and-services/undergraduate-scholarships/
Scholarship for Future Entrepreneurs,June 1,"$1,000","High school graduate or GED without a bachelor’s degree, Enrolled as at least a sophomore in a business program at a community college or a 4-year college/university currently taking classes towards the degree",https://diamocycle.com/scholarship/
Autumn Davis Memorial Scholarship,May 1,$500,"Any high school senior, undergraduate, or graduate student who has at least a 3.0 GPA and is pursuing nursing, social work, psychology, or counseling may apply for this scholarship.",https://bold.org/scholarships/autumn-davis-memorial-scholarship/
Noble E. Gagucas Nursing Scholarship,May 15,Amount Varies,Any first-generation two or four-year undergraduate nursing student who is an underrepresented minority with nonprofit or volunteering experience may apply for this scholarship.,https://bold.org/scholarships/noble-e-gagucas-nursing-scholarship/
Scholarship Program - The Heinlein Society,April 1,"$10,000","U.S citizen, 2.5 GPA requirement, major in: Aerospace Engineering, Computer Engineering, Computer Science, Cyber/Cybersecurity, Electrical Engineering, Electrical and Computer Engineering, Industrial Engineering, Mathematics, or Physics, demonstrate financial need",https://www.heinleinsociety.org/scholarship-program/
Bill King Scholarship,July 5,"$5,000","Sophomore, Junior, or Senior enrolled in a masters program, GPA of at least 3.0, pursuing journalism or broadcasting",https://www.mlb.com/athletics/community/education
Wells Fargo Scholarship Program for People with Disabilities,March 20,"$2,500","Students who have an identified disability (defined as someone who has, or considers themselves to have, a long-term or recurring issue that impacts one or more major life activity",https://learnmore.scholarsapply.org/pwdscholarship/
2024 ICAN INSPIRE scholarship,June 30,"$1,000","Full-time student, minimum GPA 3.3 for high school, 3.0 for college students, Vietnamese descent, resident in Santa Clara, Alameda, San Joaquin county",https://docs.google.com/forms/d/e/1FAIpQLSepGqyuLAvNqGjoKC3xph9x4-XOau815Gx8nA5sUXe6ueYk7g/viewform
Women in STEM 2025 Scholarship | The BHW Group,April 15,"$3,000","Must be women who are pursuing an undergraduate or master's degree and are majoring in science, technology, engineering, or mathematics during the 2024 school year.",https://thebhwgroup.com/scholarship
ACS Scholarship for Undergraduates in Chemistry,July 2nd 2025,"$5,000","College Freshman- Junior, Scholars are expected to be enrolled in a full-time chemical sciences degree at an accredited institution and pursue a career in chemical sciences upon graduation",https://www.acs.org/education/acs-undergraduate-scholarship.html
Remote DBA “Experts to Students” Scholarship,May 1st 2026,"$1,000","Open to students interested in pursuing a data-focused or data science career. All current students, as well as graduating high school seniors interested in pursuing a career in database administration, data management, and data science are eligible to apply",https://www.remotedba.com/remote-dba-experts-to-students-scholarship/
Maison Law Community Scholarship,May 1st 2026,"$2,000",Open to college-bound high school seniors or college students pursuing a legal degree. Must do a video between 30-60 seconds showcasing Maison Law’s caring and compassion for California accident victims,https://maisonlaw.com/community/scholarship/
BOLAND INJURY LAWYERS P.C.,December 1st 2025,$500,"Interest in pursuing a law degree, answer essay topic no more than 1500 words",https://boland-injury-law.com/scholarship/
FarmRaise AI in Agriculture Scholarship,May 15th 2026,"$1,000",Available to all students who are enrolled at an accredited US college or university; are a US citizen or permanent resident; and have a valid .edu email address.,https://www.farmraise.com/blog/farmraise-ai-in-agriculture-scholarship
Soil and Water Conservation Scholarship,June 1st 2026,"$3,500","Be a student enrolled in a North American (USA, Canada and Mexico) university; be an incoming junior or senior in a B.S. program or a M.S. candidate. Student’s career goals in soil and water conservation",https://www.soils.org/awards/view/167?q=awards/view/167/
Prism Foundation | Scholarships — Prism Foundation,"June 30, 2025","1,000-$5,000","Must lesbian, gay, bisexual and transgender, LGBTQ Asian and Pacific Islanders (API) in the Bay Area, Applicants should have a strong history of engagement within the API and/or LGBTQIA+ communities",https://theprismfoundation.org/scholarships
YPE SF Bay Area Scholarship Program,July 7th 2025,"$2,500","Demonstrated financial need and be actively enrolled at a college or university in Northern California in the fall of 2024. The application is online and requires two short essay responses, a resume, a financial aid document, and an official or unofficial transcript",https://www.ypesfbayarea.org/aboutthescholarship
Adam Z. Rice Memorial Scholarship,July 12th 2025,"$1,000 to $4,000",This scholarship is open to anyone attending an ABA-Approved law school in California or any California resident attending an ABA-approved law school. The applicant must also demonstrate financial need.,https://www.caljudges.org/adamrice.asp
BOLAND INJURY LAWYERS P.C,December 31st 2025,$500,"Must be an undergraduate or graduate student enrolled in a U.S. college program, interested in or seeking a law degree.",https://boland-injury-law.com/scholarship/
American Dissertation Fellowship,November 15th 2025,"$25,000","American Fellowship candidates must be U.S. citizens or permanent residents. Fellowships are open to women, including people who identify as women, in all fields of study at an accredited institution of higher education.",https://www.aauw.org/resources/programs/fellowships-grants/funding-opportunities/american-dissertation-fellowship-program/
HireAHelper Skilled Trade & Technology Scholarships,October 14th 2025,"$2,000","You must have a minimum 3.4 GPA. You must be pursuing a degree that enables you or others in your community to learn a new trade, develop skills and technology, or start a small business related to moving services offered by HireAHelper.",https://www.hireahelper.com/about/scholarships/
HSF Scholar Program Application,February 15th 2026,"$500-$5,000","Must be of Hispanic heritage U.S. citizen, permanent legal resident, or DACA Minimum of 3.0 GPA on a 4.0 scale (or equivalent) for high school students; minimum of 2.5 GPA on a 4.0 scale (or equivalent) for college and graduate students",https://www.hsf.net/scholarship
A.W. BODINE-SUNKIST SCHOLARSHIP,November 15th 2025,"$2,000","Student entering any phase of their undergraduate college career in 2025, at any school, and in any field of study. Student and/or a member of the immediate family must be, have been or currently be involved in CA or AZ agriculture.",https://bodinefoundation.com/
Hagan Scholarship Foundation,"December 1st ,2025","$7,500","Need-based merit scholarship, providing recipients “regardless of nationality”",https://haganscholarships.org/
Ford Opportunity,March 1st 2026,Amount Varies,"Open to resident of Oregon or Siskiyou County, California. Welcomes parents of any age or adult learners over the age of 25 as of March 1 of the application year. Must have faced significant barriers – financial and otherwise – to attending college",https://www.tfff.org/scholarships/ford-opportunity/
United Auburn Indian Scholarship,May 1st 2026,Amount Varies,"Indians in UAIC’s six county service area by giving scholarships to selected Indians enrolled in higher education programs. Eligible applicants must be enrolled in an approved post-secondary educational institution, provide proof of enrollment in a federally recognized tribe (or provide proof of ancestry), and have a 2.5 GPA.",http://auburnrancheria.com/programs/scholarships-1/
Adam Smith Fellowship,March 15th 2025,"$7,000",Must be enrolled in a PhD program from any university and in any discipline.,https://www.mercatus.org/students/adam-smith-fellowship
TheDream.US National Scholarship for Immigrant Students,February 28th 2026,"$6,000","Applications are open to undocumented immigrant students with or without DACA or TPS who came to the U.S. before the age of 16 and before Nov. 1, 2019.",https://www.thedream.us/scholarships/national-scholarship/
Sahara Hope Scholarship,November 15th 2025,"$1,000",Women currently admitted/enrolled in an undergraduate or graduate degree at an accredited university. Cumulative GPA of 3.0. Currently resides in the United States,https://cosmoforge.io/sahara-hope-scholarship-for-women-empowered-to-change-the-world/
Global Perspectives Scholarship,"August 27th, 2025","$1,000",Available to all high school and college students who will be attending an accredited college or university in 2025. Must complete application including a 500 word response,https://rusticpathways.com/students/scholarships/global-perspectives-scholarship
Deblinger Family Scholarship | Silicon Valley Community Foundation,May 17th 2025,"$10,000","Single, female parents who are the heads of their households. Currently enrolled in a community college to obtain an associate’s degree, certificate or in a four-year college transfer program. Minimum GPA of 2.5. Demonstrate financial need",https://www.svcf.org/scholarships/deblinger-family-scholarship
National Parent Volunteer Association Scholarships,February 28th 2026,"$1,000","Vocational/technical, two-year, four-year, or graduate institutions are eligible. Be a high school junior or senior, undergraduate student, or graduate student. GPA of 2.5 or above on a 4.0 system.",https://www.parent-volunteer.org/scholarships
Scholarships for Military Children - Fisher House Foundation,February 15th 2026,"$2,000","Five hundred (500) scholarship grants of $2,000 for the academic year 2024-2025. At least one recipient selected at every commissary location where qualified applications are received.",https://fisherhouse.org/programs/scholarship-programs/scholarships-for-military-children/
Scholarships - Federal Employee Education & Assistance Fund,March 14th 2026,"$1,000-$4,000","Must be federal employees, children/step children/legal dependents or their spouses. Various scholarships awarded",https://feea.org/our-programs/scholarships/#toggle-id-1
Wells Fargo Veterans Scholarship Program,April 10th 2026,"$5,000","Eligible veterans, their spouses and widows after military benefits meet educational requirements",https://scholarshipamerica.org/scholarship/wellsfargoveterans/
Wells Fargo Scholarship Program for People with Disabilities,March 20th 2026,"$2,500","Students who have an identified disability (defined as someone who has, or considers themselves to have, a long-term or recurring issue that impacts one or more major life activity",https://scholarshipamerica.org/scholarship/pwdscholarship/
